source_id,ra,dec,parallax,G_mag,g_flux,BP_mag,bp_flux,RP_mag,rp_flux,WD_prob,Binary_prob,T_eff,lum_flame,radius_flame,mass_flame,X,Y,Z,T_UVB,SNR_UVB,T_VIS,SNR_VIS,T_NIR,SNR_NIR
759601941671398272,173.92634510763125,35.573109570048594,25.912642049352886,14.637024,26310.980171227646,16.09614,4976.927277350592,13.429259,33686.39789852012,2.2775145e-12,0.0013867696,,,,,-12.05015757641191,-0.1301158671084366,36.66139158689504,1500,30,100,50,50,21
1005873614080407296,91.37515254235736,60.819401063972606,61.42624480808465,12.296865,227091.28853731987,13.905001,37446.954194088685,11.0301895,306960.4940478186,2.1970242e-12,0.0009807887,,,,,-13.797392064870824,6.993404443279358,5.074687637126079,2000,100,200,250,50,300
1355264565043431040,257.3834721191679,43.680105808986085,131.59960903219002,10.453175,1240729.2079656892,12.083977,200367.02552197248,9.2067175,1646156.7696947488,2.46507e-12,0.0023327759,,,,,2.210797198963264,5.712575470547941,4.49674566338412,300,150,50,300,30,300
1548104507825815296,183.93308097127309,52.51643832583794,34.94943922822,12.570832,176446.8718314613,13.398948,59681.24144809903,11.590655,183187.67150667147,2.0417268e-12,0.00019580338,,,,,-8.989106687192534,8.908422439739399,25.66176419686468,2000,100,200,170,50,200
1550299304833675392,201.7206797854293,45.545520529192935,32.77275975184601,11.962571,308971.48527300736,13.127986,76598.92046184429,10.871877,355146.48061447137,3.397543e-12,0.0070360494,3485.078,0.024344977,0.42797482,,-2.541158890378698,9.97834166302371,28.72328814980765,1000,100,200,150,50,75
2185710338703934976,301.25028584217137,54.43021426747369,60.29578669601206,11.170794,640662.2638720429,12.231574,174898.93671041608,10.149961,690515.678445185,2.46507e-12,0.0023327759,,,,,0.4020435091996717,16.218715810490814,3.4424919037349113,500,100,100,200,30,110
2643862402903084544,352.3762764481757,-1.03600386270034,27.534763703256576,6.7367063,38042080.65357262,7.0437694,20792620.67779617,6.2589827,24863669.37907794,3.397543e-12,0.0070360494,5736.736,1.978349,1.4239199,1.0052974,2.550358641015439,19.435806018903975,-30.573228932863547,50,500,50,100,50,400
3000597125173673088,93.93372269692969,-12.791414879076138,25.84519386056712,18.125025,1059.099992675903,19.234697,276.4001192130062,16.963272,1299.71917089384,2.042569e-12,0.0002017356,,,,,-28.591794143576138,-24.422634729200517,-9.116379496615055,2500,5,500,25,500,11
3223516063958808064,83.43563711932828,1.9447191815123406,63.35970667464679,10.379727,1327564.7402605598,11.680991,290415.8621034653,9.250252,1581456.9979673272,2.46507e-12,0.0023327759,3144.3054,0.031867426,0.60153484,,-14.045201867102731,-5.679575029281408,-4.424331250879061,300,100,50,270,50,170
3729017810434416128,197.21297743841944,5.204216879125762,37.867721047786,6.6284494,42030733.3442965,6.955802,22547376.331464086,6.129251,28019334.856575225,3.397543e-12,0.0070360494,5647.464,1.1428839,1.116817,0.9301773,7.017083041236629,-7.1613581739433645,24.430368948474882,50,400,50,1000,50,470
4478524169500496000,276.59053098427415,8.613677131548735,28.279440764043247,8.108023,10758155.78998222,8.492582,5474996.522207386,7.5526295,7552773.0432659155,2.3478892e-12,0.0017417321,5287.0703,0.54662305,0.88117045,0.8433899,27.553112883266866,21.38844421165444,5.812700963892558,100,400,60,600,100,350
4788741548375134336,65.27338195414822,-48.65433424724288,47.20000835664457,13.643824,65677.6207391625,14.490911,21829.94765403581,12.625301,70637.86594965322,2.0583533e-12,0.0002796956,,,,,-3.72924869079507,-14.643362009918535,-14.850244540367022,1000,80,100,90,50,40
6431977687725247104,282.0832933709044,-68.93164960388835,43.924189995890806,15.545409,11396.799572781698,17.156958,1873.4140040939271,14.009621,19738.30268953698,2.0060498e-12,1.7537848e-05,,,,,17.17482209639293,-11.462943325453146,-9.58852774741306,1500,30,100,30,50,11